Name,Area (cm^2),Mean,Min,Max,Type
wet_block_I_10_7.jpg,0.394,0.38,0,255,Leaf
wet_block_I_10_7.jpg,4.064,0.047,0,255,Square
wet_block_I_10_9.jpg,1.134,0.149,0,255,Leaf
wet_block_I_10_9.jpg,4.118,0.131,0,255,Square
wet_block_I_9_9.jpg,1.317,0.009,0,255,Leaf
wet_block_I_9_9.jpg,4.006,0.115,0,255,Square
wet_block_J_1_2.jpg,1.399,1.238,0,255,Leaf
wet_block_J_1_2.jpg,3.819,0.21,0,255,Square
wet_block_J_2_12.jpg,2.377,4.441,0,255,Leaf
wet_block_J_2_12.jpg,3.859,0.024,0,255,Square
wet_block_J_2_2.jpg,0.614,1.402,0,255,Leaf
wet_block_J_2_2.jpg,3.95,0.459,0,255,Square
wet_block_J_2_5.jpg,0.829,4.864,0,255,Leaf
wet_block_J_2_5.jpg,4.009,0.733,0,255,Square
wet_block_J_3_11.jpg,1.789,3.239,0,255,Leaf
wet_block_J_3_11.jpg,3.846,0.595,0,255,Square
wet_block_J_4_10_jul21.jpg,0.737,0.771,0,255,Leaf
wet_block_J_4_10_jul21.jpg,4.092,0.672,0,255,Square
wet_block_J_4_10_jul8.jpg,0.208,1.647,0,255,Leaf
wet_block_J_4_10_jul8.jpg,3.981,0.384,0,255,Square
wet_block_J_4_4.jpg,0.816,3.598,0,255,Leaf
wet_block_J_4_4.jpg,3.863,0.019,0,255,Square
wet_block_J_5_8.jpg,0.922,6.683,0,255,Leaf
wet_block_J_5_8.jpg,3.964,0.461,0,255,Square
wet_block_J_6_11.jpg,1.266,1.85,0,255,Leaf
wet_block_J_6_11.jpg,4.057,0.937,0,255,Square
wet_block_J_6_5.jpg,3.42,0.55,0,255,Leaf
wet_block_J_6_5.jpg,4.089,0.449,0,255,Square
wet_block_J_7_5.jpg,0.927,11.325,0,255,Leaf
wet_block_J_7_5.jpg,4.031,0.139,0,255,Square